,tweet,class
0,b'At least half of all humans are of below-average intelligence .',noHate
1,b'Hail Imperium Europae !',noHate
2,b'Is this normally what it should be ?',noHate
3,b'Stay for Gel test .',noHate
4,"b""It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .""",hate
5,b'Good luck .',noHate
6,"b'Remember, when you buy California fruit you are supporting illegal immigration because that is all who pick the fruit .'",noHate
7,b'I wonder how many moms would kill to look that good after having a kid .',noHate
8,b'She then had the other students vote him out of the class .',noHate
9,"b""thats just stupid to say that , because you have probably heard maybe 10-20 artists and those are the * * * * * * s on TV and stuff. there are tons of white , non-wigerish rappers that dont `` scream '' about something""",noHate
10,"b'ALL this high school talk makes ME feel old , and Im 19 !!!'",noHate
11,b'Its got to be a quote from someone .',noHate
12,b'from reading this i realized there was no date or there is a meeting or something going on outside the ucc in cork at 10 : 30 am on the 10th of march. was walkiing around cork with a few friends and they tried handing out leaflets \xc2\xac _ \xc2\xac friends and i were not to happy',noHate
13,"b""The burka is bad enough but it 's the hijab that 's more in need of a ban than the burka .""",noHate
14,"b""I ca n't carry a gun in Canada , plus I like to travel light so I only take the essentials : Spyderco Delica 4 FFG Notepad/pen Wallet iPhone Headphones Bus pass or bike lock""",noHate
15,b'I know somebody who wants to perhaps move to Alberta but is wondering if they have the homo agenda in the schools there .',hate
16,b'Thanks both of you for that .',noHate
17,b'http://www.azcentral.com/news/articl...bbery1219.html',noHate
18,b'Please join the discussions first before posting your pictures .',noHate
19,"b""It's good to see someone actively trying to make a difference and reach out to people who otherwise might never realize that there is more than one side to any belief .""",noHate
20,"b""Like the `` white '' -African ( what the hell is her name ) ..""",noHate
21,"b'i have been using Firefox for about 6 months now. ive never looked back , IE is so slow when compared to FF'",noHate
22,b'Please contribute and/or donate .',noHate
23,b'Bugsy89',noHate
24,b'NeoFolk ?',noHate
25,b'YES!',noHate
26,b'Looking at things it was shown up till about a three thousand years ago no mongoloids existed in the Tairm basen area .',noHate
27,b'When ever I see these white children murdered by these sub humans it makes me so angry I could cry .',hate
28,b'Hope To See You There ! 14 Words !!!! 88 !!!!! 11',noHate
29,"b'You will find many true White Nationalists indeed have tattoos so your statement they are stupid and retarded is all your own , you wont make many friend here with that attitude .'",noHate
30,"b""My father was born in Germany My mother 's parent 's moved from Ireland .""",noHate
31,b'I went on the EDL page last night and I saw the funnies thing .',noHate
32,b'One out we will never win but if we can form proper communities we can gain real strength .',noHate
33,b'I am new on here and so far i like most of what i have seen.I am looking for some suggestions on reading material i should read to educate myself about my heritage and how to protect it.I know there are some intelligent people on here who can point me in the right direction or even share some of their knowledge with me so i can be more educated and prepared to be able to help not only myself but my race .',noHate
34,"b'There comes a moment when we must act , regardless of the consequences .'",noHate
35,"b'They are no better than their daughters , they should have disowned them instead of parading a kid around town that looks nothing like them .'",hate
36,b'Clash of the services !!',noHate
37,b'My mother taught me to read and count change before I was three years old !',noHate
38,b'Damn Canada !',noHate
39,b'He s a cool dude !!',noHate
40,"b'Not the most attractive of colours , but certainly rare .'",noHate
41,b'That is great .',noHate
42,"b'The native hunter-gatherers , on the other hand , show 100 % incidence of blue eyes but do not have all the same mutations for light skin as the farmer and Steppe populations .'",noHate
43,"b'Oops , I forgot Obongo is president , therefor it is free greencard day every day .'",noHate
44,"b""I believe this was posted before but had no sound and the victim 's face was blurred .""",noHate
45,b'theres this girl at my school and she is really tall and she is the darkes * * * * * * ive ever saw and she sat by me and i moved too the next table and she had a bag of cookies and she could not open it so she was trying to open with her teeth like a dog slaping it back in foruth finlly this white trash girl opened with her mouth then she had the nerve to spit on a white girl and thegirl did nothing but smile and then this mixed kid had the neve to ask me out i told him no and go to hell. this was my day at school suced huh. hope you tyep back sorry for spelling .',noHate
46,b'No Kaboom .',noHate
47,b'How hard is it for Americans to get to SA ?',noHate
48,"b""I 've seen it and currently live it , and let me tell you it is not pretty .""",noHate
49,b'Some humans do not think them too sometimes .',noHate
50,"b""There are 3 liquor stores in less than half a mile radius and one of them does n't stop selling beer until midnight .""",noHate
51,b'The new government is exactly as anti-White as they want. : upside',noHate
52,"b""I'm happy to hear Ms. Rosen will survive and hopefully put this behind her at some point ?""",noHate
53,"b'Let them , their families and anyone who knows or like them have their children burn in front of them and watch their flesh melt off of their bodies .'",noHate
54,"b'Oh, yes they will skin us alive if given the chance .'",hate
55,b'I had to get used to her looking like that because she looked so obviously fake .',noHate
56,"b'Yours , Rebel'",noHate
57,"b'War of Art is sitting on my shelf , presently unread .'",noHate
58,"b""Let 's see it get down to zero !""",noHate
59,"b""I saw AHX for the first time the other day and I would not say it 's Pro Aryan .""",noHate
60,"b""I find it funny how obsessed many posters are here about how `` White '' and area is .... as if `` Whiteness '' is gauged by skin color alone .""",noHate
61,"b""So how do you explain America 's being behind almost every industrialized nation in the world when it comes to education ?""",noHate
62,"b'Seriously now , best of luck ! 88 Crissy'",noHate
63,"b'Save your change or eat pork and beans one night instead of going out , and give the money to a White mother. photo crawling infant reaching out'",noHate
64,b'I have applied this technique one many occasions and seen considerable success .',noHate
65,b'Thanks though .',noHate
66,"b'I am not critisizing , you are right , we should all just grow up .'",noHate
67,b'First kiss was behind the church door in third grade .',noHate
68,"b""Yes I fear that a civil war is our last and only option left in a world ruled by damn antifac 's""",noHate
69,b'Because there were already two other threads on it .',noHate
70,b'YouTube - David Irving part 7 of 10',noHate
71,"b'I stillz listens to da Eminem and Wu-Tang Klan ( Big Up ! ) an sheot , but bitches know not ta reprazent !'",noHate
72,b'Justin Trudeau shows the international community that incompetence and arrogance are all it takes to lead a nation these days .',noHate
73,b'Or another type :',noHate
74,"b'The regime wants Germans to hate themselves , too bad that they are not already brown Muslims !'",hate
75,"b""Yeah, but back in the day there were n't that many millions nigs and wetbacks .""",hate
76,b'Quick!',noHate
77,"b'I was up late watching tv and there it was on CNN , Click on the link Video - Breaking News Videos from CNN.com'",noHate
78,"b""A lot there are old , but I have lots of new ones I 'll be adding soon .""",noHate
79,"b""I 'll bump it so it 'll be easier for me to find later for reference .""",noHate
80,"b""Didn't Sextus solve this problem over a thousand years ago ? `` but amongst the Romans it is forbidden by law to do so ''""",noHate
81,b'In Limerick if caught with a knife Jail loads of women have been sent to prison.Very violent place i am afraid .',noHate
82,b'Last week the crowd were chucking snowballs at Peter Shilton .',noHate
83,"b'They are shipping 15,000 Mc Turdos with fresh flies on the side .'",noHate
84,b'Hope this helps. .',noHate
85,b'All schools in Ireland should be segregated .',noHate
86,"b""I 'm not sure if these guys are reds but I like this song .""",noHate
87,b'Leaves me to no surprise .',noHate
88,b'I am giving the whole bag to the kids across the street ....',noHate
89,b'Good for the lions .',noHate
90,b'Just like other wolves will fight and die for each other .',noHate
91,b'Click Here For Video Look at what is happening in sweden ..',noHate
